cd_mun,municipio,uf,n_feicoes,area_ha,area_mun_ha,pct_mun_coberta
1500602,ALTAMIRA,PA,97,15476085.57,16152565.0249171,95.81
1505304,ORIXIMINÁ,PA,62,10600000.76,10746398.21729069,98.64
1300409,BARCELOS,AM,29,10215986.85,12236212.103321003,83.49
1303809,SÃO GABRIEL DA CACHOEIRA,AM,19,10086916.209999999,10860865.112573957,92.87
1300201,ATALAIA DO NORTE,AM,9,7445572.34,7718384.956688563,96.47
1507300,SÃO FÉLIX DO XINGU,PA,63,6573727.87,8550505.298675407,76.88
1303601,SANTA ISABEL DO RIO NEGRO,AM,26,6161662.83,6273987.285369187,98.21
1304104,TAPAUÁ,AM,41,6013446.01,8581110.923396477,70.08
1302306,JUTAÍ,AM,31,5884815.9399999995,6986861.548094291,84.23
1500503,ALMEIRIM,PA,14,5826815.66,7290865.077700209,79.92
1302405,LÁBREA,AM,81,5821643.49,6965807.151764998,83.57
1503606,ITAITUBA,PA,86,5665696.51,6264410.810650477,90.44
1302108,JAPURÁ,AM,18,5395549.09,5575781.314634784,96.77
1300144,APUÍ,AM,35,5181594.85,5518030.127999784,93.9
1503754,JACAREACANGA,PA,26,5083528.86,5416164.048493358,93.86
1400209,CARACARAÍ,RR,49,4396145.34,4735085.387440574,92.84
1301209,COARI,AM,22,4116902.97,5825684.716138694,70.67
1302702,MANICORÉ,AM,53,3905403.4,4888546.31480221,79.89
1300805,BORBA,AM,51,3868308.37,4451802.606448104,86.89
1303205,NOVO AIRÃO,AM,23,3700606.2199999997,3778353.659140691,97.94
1302900,MAUÉS,AM,30,3673857.88,4025766.0999650345,91.26
1303304,NOVO ARIPUANÃ,AM,31,3440894.04,4173169.0366415475,82.45
1505031,NOVO PROGRESSO,PA,32,3428686.55,3888472.7034042403,88.18
1300904,CANUTAMA,AM,37,3115244.19,3415562.8541029175,91.21
1400472,RORAINÓPOLIS,RR,31,3113712.92,3354233.0708085485,92.83
1600279,LARANJAL DO JARI,AP,14,2911424.6,3052448.8088773573,95.38
1301704,HUMAITÁ,AM,64,2779895.17,3362295.9587758146,82.68
1304302,URUCARÁ,AM,13,2624594.41,2790254.1855188305,94.06
1505106,ÓBIDOS,PA,46,2457105.73,2798791.6097486094,87.79
1100106,GUAJARÁ-MIRIM,RO,38,2426725.11,2581374.174954332,94.01
1400027,AMAJARI,RR,20,2386064.13,2845659.86751413,83.85
1301951,ITAMARATI,AM,8,2292611.02,2557459.9757793304,89.64
1100205,PORTO VELHO,RO,75,2282948.01,3493162.857512606,65.35
1301001,CARAUARI,AM,14,2243706.58,2595432.5891491505,86.45
1600501,OIAPOQUE,AP,13,2228538.1799999997,2310056.646501348,96.47
1400050,ALTO ALEGRE,RR,15,2215798.68,2546659.7486486994,87.01
1500404,ALENQUER,PA,37,2024634.58,2362426.2521508867,85.7
1303536,PRESIDENTE FIGUEIREDO,AM,25,2005716.49,2544500.411702667,78.83
1304203,TEFÉ,AM,12,1999810.8099999998,2381013.7985951155,83.99
1303908,SÃO PAULO DE OLIVENÇA,AM,15,1853249.01,1975961.4861612124,93.79
5105150,JUÍNA,MT,12,1712078.58,2745694.65463892,62.36
1301308,CODAJÁS,AM,17,1651449.89,1874080.2856228978,88.12
1303502,PAUINI,AM,27,1617205.41,4234229.355419663,38.19
1300706,BOCA DO ACRE,AM,54,1583588.45,2243129.7229057234,70.6
1501006,AVEIRO,PA,32,1576259.49,1712396.7370784846,92.05
1302801,MARAÃ,AM,16,1568611.59,1684203.1260886856,93.14
1505809,PORTEL,PA,42,1567355.09,2540734.0221563745,61.69
5103304,COMODORO,MT,39,1522207.1,2263237.647758584,67.26
1200500,SENA MADUREIRA,AC,42,1508553.15,2440336.9830401964,61.82
5100805,APIACÁS,MT,7,1493607.3499999999,2094889.6734447689,71.3
1300631,BERURI,AM,23,1486711.55,1756481.1864564335,84.64
1302207,JURUÁ,AM,11,1485833.58,1948975.275342701,76.24
1301407,EIRUNEPÉ,AM,11,1396303.48,1517378.011317669,92.02
1505908,PORTO DE MOZ,PA,18,1384299.94,1742685.0630950558,79.43
1507805,SENADOR JOSÉ PORFÍRIO,PA,24,1370363.5099999998,1448017.9459903557,94.64
1505437,OURILÂNDIA DO NORTE,PA,14,1333359.3900000001,1464315.6725421748,91.06
1506807,SANTARÉM,PA,56,1307014.77,1791758.5465272393,72.95
1504802,MONTE ALEGRE,PA,41,1305183.43,1813831.041948716,71.96
1600204,CALÇOENE,AP,18,1258238.98,1412628.8279236678,89.07
5103254,COLNIZA,MT,25,1224664.8800000001,2867063.6719064717,42.71
1303007,NHAMUNDÁ,AM,12,1206813.0699999998,1410421.5063200276,85.56
1400282,IRACEMA,RR,10,1204252.5,1402230.5273344067,85.88
1400233,CAROEBE,RR,11,1178030.81,1205321.796337061,97.74
1600402,MAZAGÃO,AP,18,1169180.75,1327923.151604707,88.05
1503002,FARO,PA,13,1148532.73,1176313.398962338,97.64
1301605,FONTE BOA,AM,10,1147225.1600000001,1216439.8578463674,94.31
1303700,SANTO ANTÔNIO DO IÇÁ,AM,18,1136705.7,1240275.4937148662,91.65
1508050,TRAIRÃO,PA,38,1098183.96,1207270.9799559764,90.96
1200302,FEIJÓ,AC,25,1057357.15,2859936.0188408955,36.97
1505064,NOVO REPARTIMENTO,PA,76,1013877.96,1547521.085263516,65.52
1400308,MUCAJAÍ,RR,12,1013026.6600000001,1234654.408257723,82.05
1303957,SÃO SEBASTIÃO DO UATUMÃ,AM,10,986711.05,1064711.0479078803,92.67
1708205,FORMOSO DO ARAGUAIA,TO,21,973719.0900000001,1401404.4337109101,69.48
1304260,UARINI,AM,15,958206.4099999999,1029473.6865816498,93.08
1600154,PEDRA BRANCA DO AMAPARI,AP,19,927382.1,961496.9448872348,96.45
1101492,SÃO FRANCISCO DO GUAPORÉ,RO,27,914511.47,1145796.2847934198,79.81
1500859,ANAPU,PA,24,907398.1399999999,1194032.1797468953,75.99
1300839,CAAPIRANGA,AM,8,901652.4199999999,947140.942846697,95.2
1301803,IPIXUNA,AM,6,875501.1599999999,1228600.7956581952,71.26
1504208,MARABÁ,PA,131,872958.87,1525563.1026814787,57.22
5103858,GAÚCHA DO NORTE,MT,5,869134.2399999999,1778249.531752477,48.88
5107065,QUERÊNCIA,MT,7,864707.53,1859924.1373679664,46.49
1100304,VILHENA,RO,23,863000.08,1222916.2116947817,70.57
1300607,BENJAMIN CONSTANT,AM,21,835672.41,876182.1022943091,95.38
