ano,n_criadas,area_ha,area_acum_ha
1930.0,4,14384.62,14384.62
1934.0,1,330.01,14714.630000000001
1937.0,4,32736.29,47450.92
1939.0,12,230741.23,278192.15
1941.0,6,10184.27,288376.42000000004
1944.0,9,96760.70999999999,385137.13
1946.0,6,39511.57,424648.7
1947.0,3,21126.14,445774.84
1949.0,1,1816.8,447591.64
1950.0,1,213.13,447804.77
1952.0,1,104.85,447909.62
1957.0,1,214.59,448124.21
1958.0,1,89.29,448213.5
1960.0,3,43129.62,491343.12
1961.0,54,1059566.53,1550909.65
1962.0,4,16583.19,1567492.8399999999
1964.0,1,1051.03,1568543.8699999999
1965.0,3,11385.1,1579928.97
1966.0,1,20.7,1579949.67
1967.0,2,6815.4,1586765.0699999998
1968.0,27,43259.6,1630024.67
1969.0,2,112.81,1630137.48
1970.0,5,27023.83,1657161.31
1971.0,8,587793.17,2244954.48
1972.0,22,514846.9,2759801.38
1973.0,1,6799.85,2766601.23
1974.0,22,578634.9,3345236.13
1975.0,15,82172.89,3427409.02
1976.0,9,19132.95,3446541.97
1977.0,9,46232.840000000004,3492774.81
1978.0,7,16915.6,3509690.41
1979.0,25,3238664.78,6748355.1899999995
1980.0,26,2597428.92,9345784.11
1981.0,48,1366780.27,10712564.379999999
1982.0,106,1544014.73,12256579.11
1983.0,97,1464201.3,13720780.41
1984.0,83,1057057.47,14777837.88
1985.0,70,1808346.32,16586184.200000001
1986.0,154,673436.48,17259620.68
1987.0,389,1438518.01,18698138.69
1988.0,218,1883606.36,20581745.05
1989.0,271,6683327.05,27265072.1
1990.0,155,7855333.09,35120405.19
1991.0,243,1285076.75,36405481.94
1992.0,311,2056042.47,38461524.41
1993.0,127,357835.27,38819359.68
1994.0,107,574955.9,39394315.58
1995.0,643,4476172.17,43870487.75
1996.0,740,3389888.54,47260376.29
1997.0,1136,6522429.55,53782805.839999996
1998.0,1231,9455300.12,63238105.95999999
1999.0,851,2427845.85,65665951.809999995
2000.0,582,1648774.97,67314726.78
2001.0,664,7991999.79,75306726.57000001
2002.0,529,7326729.91,82633456.48
2003.0,387,4768111.53,87401568.01
2004.0,636,6614586.63,94016154.64
2005.0,1027,14828772.35,108844926.99
2006.0,1019,33277388.02,142122315.01
2007.0,588,2281282.75,144403597.76
2008.0,551,7658830.7700000005,152062428.53
2009.0,435,4623762.26,156686190.79
2010.0,467,2303606.28,158989797.07
2011.0,267,1357453.54,160347250.60999998
2012.0,236,475578.67,160822829.27999997
2013.0,265,513722.22,161336551.49999997
2014.0,245,1166655.81,162503207.30999997
2015.0,161,1050621.19,163553828.49999997
2016.0,131,3441069.31,166994897.80999997
2017.0,146,985401.49,167980299.29999998
2018.0,185,1874446.14,169854745.43999997
2019.0,48,53651.86,169908397.29999998
2020.0,48,119869.66,170028266.95999998
2021.0,77,133181.34,170161448.29999998
2022.0,66,2664110.29,172825558.58999997
2023.0,41,228798.78,173054357.36999997
2024.0,34,65068.74,173119426.10999998
