uf,n_feicoes,area_ha,area_max_ha,area_med_ha,pct_total,area_uf_ha,pct_uf_coberta
AM,1292,130008222.98,7287673.3,100625.55958204335,38.257,156878630.15457192,82.87
PA,2992,89609297.23,3402261.86,29949.63142713904,26.369,125390913.92728262,71.46
MT,1442,23242622.73,992260.95,16118.32366851595,6.839,95118311.85789077,24.44
RR,226,19309339.32,1873889.09,85439.55451327434,5.682,22367962.51213666,86.33
RO,695,14420588.05,591923.96,20749.047553956836,4.243,24637479.909328368,58.53
AP,218,11599710.540000001,1616467.11,53209.68137614679,3.413,14222863.081195114,81.56
AC,387,8995236.87,746143.4,23243.506124031006,2.647,16821242.56254571,53.48
MA,1669,8550765.77,442328.14,5123.286860395446,2.516,33220153.032726508,25.74
TO,1130,6172565.69,867185.18,5462.447513274336,1.816,28624034.97340503,21.56
BA,1272,5387362.78,291723.52,4235.348097484277,1.585,59225156.67132081,9.1
MG,1020,3595419.14,110999.42,3524.920725490196,1.058,65149129.34484081,5.52
PI,611,3248256.6,237693.91,5316.2955810147305,0.956,25591819.69827579,12.69
GO,663,2441621.2199999997,184257.48,3682.686606334841,0.718,36807010.45611073,6.63
MS,482,2201199.43,391512.48,4566.803796680499,0.648,40566882.818965286,5.43
SP,811,2174161.48,87908.93,2680.840295930949,0.64,28935623.72047317,7.51
PR,717,1706754.52,104035.63,2380.4107670850767,0.502,24072843.526123714,7.09
CE,805,1512546.92,71177.27,1878.9402732919255,0.445,14995511.637931557,10.09
PE,1054,1301562.39,53089.76,1234.8789278937381,0.383,10003935.18485052,13.01
RS,465,1022772.92,100181.75,2199.5116559139788,0.301,37321335.99333783,2.74
RJ,592,855125.13,54160.97,1444.468125,0.252,5092820.200852809,16.79
SC,409,692076.39,34302.9,1692.1183129584354,0.204,12082624.155217197,5.73
RN,503,565574.45,8501.72,1124.4024850894632,0.166,5329719.646440196,10.61
PB,513,413145.35,20233.83,805.351559454191,0.122,5727655.8270493755,7.21
SE,318,239212.78,9277.76,752.2414465408805,0.07,2267317.7077463465,10.55
ES,198,235109.13,26053.55,1187.4198484848484,0.069,5181311.22217544,4.54
AL,316,214331.57,7955.42,678.2644620253164,0.063,2857355.8847033423,7.5
DF,29,116832.16,45208.35,4028.6951724137934,0.034,621036.1967971355,18.81
