uf,Assentamento,Florestas Não Destinadas,Outra Destinação,Terra Indígena,Unidade de Conservação,Área Militar
AC,1193271.14,563399.67,0.0,2501912.56,4736653.5,0.0
AL,83720.13,22.0,11113.01,26288.739999999998,93187.69,0.0
AM,6342776.17,36647106.69,87569.51000000001,45730713.35,41179293.48,20763.78
AP,1167320.81,317210.91,44376.59,1184458.68,8879268.01,7075.540000000001
BA,1738181.45,5403.31,526084.6900000001,337651.33999999997,2778935.58,1106.41
CE,862487.74,0.0,25728.14,21577.06,602360.67,393.30999999999995
DF,3452.52,0.0,497.83,0.0,112875.59,6.22
ES,49378.38,0.0,21456.15,20530.71,143743.88999999998,0.0
GO,1090487.66,1334.7,283811.91000000003,40085.28,902190.7,123710.97
MA,2832127.42,239526.84,91717.94,2297997.31,3027062.67,62333.59
MG,968536.41,0.0,269512.77,147996.73,2204101.39,5271.84
MS,712728.1,23771.600000000002,14726.29,1020800.41,420196.87,8976.16
MT,4221888.85,1165807.1300000001,21408.54,15626059.53,2172369.99,35088.69
PA,12089577.16,7530961.15,1578258.48,31487382.96,34597606.08,2325511.4
PB,266400.54,0.0,3470.0,34145.35,109129.46,0.0
PE,514513.25,4523.52,185464.23,207084.36000000002,389977.02999999997,0.0
PI,782684.08,16077.03,131248.62,2060.53,2313970.35,2215.99
PR,476354.21,49047.03,30122.4,148494.47,1002736.41,0.0
RJ,82632.78,0.0,9107.960000000001,5611.68,754691.14,3081.57
RN,503676.95,0.0,5803.08,0.0,56094.42,0.0
RO,2013086.26,2332301.4,8086.33,5199530.5,4854152.02,13431.54
RR,1039040.61,3010865.95,0.0,10303504.28,4642595.41,313333.07
RS,260703.4,2251.79,22632.03,142859.94999999998,487167.13,107158.62
SC,110027.02,28370.8,16021.15,103628.27,422296.89,11732.26
SE,155801.51,0.0,60184.48,4524.71,18170.66,531.4200000000001
SP,205668.26,0.0,18079.63,89154.34,1861259.25,0.0
TO,1075537.22,923910.77,133625.02,2678469.58,1361023.1,0.0
